time,open,high,low,close,MA,SMA-based MA,MA,MA,MA,New Moon,Full Moon,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),MA,SMA-based MA,EMA,EMA,EMA,EMA,True Strength Index,Signal,4% Advance,4% Decline,Net Breadth,Zero Line,Upper Level,Lower Level,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1986-06-18,0.075619,0.07639,0.074847,0.074847,,,0.07527501818181818,0.0756002857142857,0.07621877777777779,0,0,,0.07639,0.074847,0.074847,,,,0.07338874538408485,0.0760461620641392,0.07579812422158952,-3.1277372887143806,-2.37674481339641,,,,,,,,49.97591994277045,50.622981842836445,,,,
1986-06-19,0.074847,0.07639,0.074847,0.076005,,,0.07556263636363636,0.07547171428571427,0.07609022222222223,0,0,,0.07639,0.074847,0.076005,,,,0.07348218304893897,0.07604242005830836,0.07583949937727162,-2.868499132260414,-2.4469954303769823,,,,,,,,51.454459013138795,50.88986270065044,,,,
1986-06-20,0.076005,0.07639,0.074461,0.074847,,,0.07578710909090909,0.07525123809523808,0.07591877777777778,0,0,,0.07639,0.074461,0.074847,,,,0.07353092651147686,0.07593374550755305,0.0756409995018173,-3.4458661299911273,-2.5896912446075744,,,,,,,,49.917592688699415,51.221670269813494,,,,
1986-06-23,0.074847,0.07639,0.074076,0.07639,,,0.07605365454545454,0.07521447619047616,0.07609022222222223,0,1,,0.07639,0.074076,0.07639,,,,0.07363303627892412,0.07597522318868459,0.07579079960145384,-2.778103167690805,-2.6166072336194643,,,,,,,,51.911215576521485,51.5292907872643,,,,
1986-06-24,0.07639,0.07639,0.074076,0.07639,,,0.07630618181818181,0.07525119047619046,0.07600444444444444,0,0,,0.07639,0.074076,0.07639,,,,0.07373149926896254,0.07601293017153145,0.07591063968116307,-2.227427874462916,-2.561010182311386,,,,,,,,51.911215576521485,51.804061309822906,,,,
1986-06-25,0.07639,0.07639,0.075619,0.075619,,,0.07654469090909091,0.07521447619047618,0.07591877777777778,0,0,,0.07639,0.075619,0.075619,,,,0.07379891000935673,0.07597711833775586,0.07585231174493046,-2.3363694899304366,-2.5289186548283933,,,,,,,,50.81450631388594,51.63300186867603,,,,
1986-06-26,0.075619,0.077162,0.074076,0.07639,,,0.07679721818181819,0.07521447619047618,0.07583299999999998,0,0,,0.077162,0.074076,0.07639,,,,0.07389144893759399,0.0760146530343235,0.07595984939594437,-1.8180677078870087,-2.427368519551053,,,,,,,,51.87361927350237,51.53759335321605,,,,
1986-06-27,0.07639,0.07639,0.074847,0.074847,,,0.07702169090909092,0.07528795238095237,0.07566155555555555,0,0,,0.07639,0.074847,0.074847,,,,0.07392557576125135,0.07590850275847591,0.07573727951675549,-2.581744981741443,-2.449422299863966,,,,,,,,49.64507270646328,51.349922287094515,,,,
1986-06-30,0.074847,0.07639,0.074847,0.075233,,,0.07722512727272728,0.07541657142857143,0.07561866666666667,0,0,,0.07639,0.074847,0.075233,,,,0.0739722694840638,0.07584709341679628,0.07563642361340439,-2.8938436858763263,-2.512911069294303,,,,,,,,50.20255663920245,51.33410335190117,,,,
1986-07-01,0.075233,0.07639,0.074847,0.07639,,,0.0774496,0.07571052380952381,0.0757901111111111,0,0,,0.07639,0.074847,0.07639,,,,0.07405861700249008,0.07589644856072389,0.07578713889072351,-2.171099483995339,-2.4640808428230225,,,,,,,,51.866404108884666,51.25167955453889,,,,
