time,open,high,low,close,MA 9,MA 21,EMA 55,EMA 125,EMA 200,EMA 350
9/14/1999,1362.25,1365,1345.5,1353,1215.0798571428572,1303.8985,1326.3411478023293,1345.659181422753,1345.2126028747257,1347.5156918492207
9/15/1999,1352.75,1368.25,1330.25,1331.25,1215.759142857143,1304.5835,1326.419066091181,1345.1445678005118,1343.9432753406597,1344.2625534793765
9/16/1999,1332,1338,1312.5,1334.25,1216.4541428571429,1305.44225,1326.5433666294164,1344.7554760933506,1343.0620684915089,1342.2600427835011
9/17/1999,1334,1353.25,1333.25,1351.5,1217.182,1306.3285,1326.9395036670446,1344.9963519471594,1343.829153174099,1344.108034226801
9/20/1999,1351.75,1357,1344.25,1348.5,1217.837,1307.20975,1327.2817337675676,1345.1214822347608,1344.2537756128172,1344.9864273814408
9/21/1999,1348.25,1350.5,1315.5,1321.25,1218.384857142857,1308.0510000000002,1327.1859919617332,1344.268929297805,1342.1625232843792,1340.2391419051526
9/22/1999,1322.75,1331,1310.25,1321.25,1218.9370000000001,1308.756,1327.0917698671026,1343.4468246800263,1340.2613848039812,1336.441313524122
9/23/1999,1322.25,1329.25,1288.25,1291.25,1219.4262857142858,1309.27475,1326.522852885085,1341.5826523700255,1335.8058043672556,1327.4030508192977
9/24/1999,1290.75,1295,1275,1289.25,1219.9477142857143,1309.8135,1325.9312202996075,1339.713629071096,1331.573458515687,1319.7724406554382
9/27/1999,1290.5,1308.5,1290.5,1297,1220.5155714285715,1310.376,1325.4719945805662,1338.1881423185569,1328.4304168324427,1315.2179525243505
9/28/1999,1297.25,1303,1267.5,1294.75,1221.0277142857144,1311.01725,1324.984343872938,1336.636780092894,1325.368560756766,1311.1243620194805
9/29/1999,1295.5,1302,1278.75,1280,1221.507,1311.59975,1324.2703066686058,1334.6140379467192,1321.2441461425146,1304.8994896155843
9/30/1999,1279.75,1304.25,1279.25,1297.75,1222.009142857143,1312.406,1323.8493494198979,1333.2974651629079,1319.1083146750134,1303.4695916924675
10/1/1999,1297,1299,1276.5,1294,1222.4948571428572,1313.001,1323.3755502227566,1331.8939842642326,1316.8257406136486,1301.575673353974
10/4/1999,1294,1319.5,1293.5,1318.75,1223.064142857143,1313.721,1323.3021287906492,1331.4245562547958,1317.000673285135,1305.0105386831792
10/5/1999,1318.75,1331.25,1296.75,1315.5,1223.644142857143,1314.33725,1323.178285476512,1330.8558221028388,1316.8642484410318,1307.1084309465434
10/6/1999,1315.75,1337.75,1312.5,1334.5,1224.2905714285714,1315.0235,1323.357995230853,1330.9859713134517,1318.4674985827562,1312.5867447572348
10/7/1999,1335.5,1340.75,1324.5,1328.5,1224.8991428571428,1315.5935,1323.4396143541728,1330.8971866236857,1319.379544166142,1315.7693958057878
10/8/1999,1328.75,1348.25,1318.25,1346.75,1225.5355714285715,1316.2472500000001,1323.8096204755352,1331.4633585299825,1321.8677674237656,1321.9655166446303
10/11/1999,1346.75,1350.5,1342,1345.75,1226.1855714285714,1316.7635,1324.157880467987,1331.9735957253404,1324.0388794761504,1326.7224133157042
10/12/1999,1347,1348,1321.5,1326,1226.7912857142858,1317.1960000000001,1324.1871204605586,1331.760253020864,1324.2171631601368,1326.5779306525633
10/13/1999,1322,1322,1289.5,1289.5,1227.3498571428572,1317.476,1323.636531246899,1330.2509582701189,1321.0610574183063,1319.1623445220507
10/14/1999,1290.75,1300,1275.75,1290.25,1227.9034285714285,1317.6547500000001,1323.106586306472,1328.8223526176146,1318.2600521984602,1313.3798756176407
10/15/1999,1290,1290.5,1252.5,1256.5,1228.3484285714287,1317.7272500000001,1322.049338904782,1326.2394114526999,1312.6455019986001,1302.0039004941125
10/18/1999,1254.5,1266.75,1241.5,1265.5,1228.8477142857143,1317.82725,1321.1517303507378,1324.0701467579606,1308.3595472714546,1294.70312
10/19/1999,1265.25,1289,1261.5,1274.75,1229.3605714285716,1317.996,1320.415194948345,1322.3087129451762,1305.3041338831406,1290.7124963162319
10/20/1999,1275.5,1299.75,1275.25,1292.25,1229.922,1318.191,1319.9681283618634,1321.2351874828485,1304.1173944392187,1291.0199970529854
10/21/1999,1291.75,1296.5,1272.5,1296,1230.5441428571428,1318.2697500000002,1319.587681879929,1320.3339307870324,1303.3794494901988,1292.0159976423884
10/22/1999,1295.75,1318,1293.25,1306.5,1231.1405714285715,1318.4135,1319.379940897708,1319.8398618303527,1303.6631359001808,1294.9127981139106
